KNN,GBT,NB,SVC,RF,DT,MLR
B+,A,D,A,A,A,A
A,A,D,A,A,A,A
A,B+,D,B+,A,A,B
A,A,D,A,B-,B-,A
B+,B+,D,B+,B+,B+,B+
D,F,D,C,D,D,C
B,B,C,B,B,B,B
B+,B+,D,B+,B+,B+,B+
B+,B+,D,B+,B+,B+,B
A,B+,D,A,B,A,A
C,C,D,C,C,C,C
B,C,D,A,C,C,B
A,B+,D,A,B+,B+,A
A,B+,D,A,B+,B+,A
B+,B,D,B+,B+,B+,B+
A,B+,D,A,B+,B+,A
B+,B+,D,B,C,A,B
A,B+,D,A,A,A,A
C,C,D,B+,C,C,B+
A,A,D,A,B-,A,A
B+,B,D,A,B,B,A
A,A,D,A,B+,B+,A
C,B+,D,B+,C,C,B+
A,A,D,A,B-,B-,A
A,A,D,B+,B+,A,B+
B+,B+,D,B+,B+,B+,B+
B,B,D,A,B,B,B
B,A,D,A,B,B,A
A,B+,D,B+,A,A,B
B+,B+,D,A,B+,B+,B+
B,C,D,B+,C,C,B
A,A,D,A,A,A,A
B+,A,D,A,B,A,A
A,B+,D,B+,A,A,B+
C,C,D,C,C,C,C
A,A,A,A,A,A,A
C,C,D,C,C,C,C
A,A,D,A,A,A,A
A,A,D,A,A,A,A
B+,B+,D,B+,C,A,B+
B+,B+,D,C,D,C,C
B,C,D,B+,C,C,B
A,C,D,C,A,A,C
A,A,D,A,A,A,A
C,C,D,C,C,C,C
B,A,D,A,B+,B,A
A,A,B,A,B,B,A
C,B+,D,B+,C,C,B+
B,B,C,B,B,B,B
C,C,D,C,C,C,B+
C,B+,D,B+,C,C,B+
A,B+,D,A,B+,B+,A
C,C,D,B+,C,C,B+
A,A,B,A,B+,A,A
A,C,C,B,B,B,B
B,B+,D,A,B,B,A
B,B+,D,B+,B+,B+,B+
A,A,B,A,A,A,A
C,C,D,C,C,C,C
B,B,D,C,B,B,C
A,A,A,A,A,A,A
B+,B+,D,B+,C,A,B+
A,B-,D,B+,B,B,B+
B+,B+,D,A,B+,B+,B+
A,C,D,B+,B,A,B+
B+,B+,D,B+,C,A,B+
A,B+,D,A,A,A,A
A,A,D,B+,B+,A,B+
A,B+,D,A,B+,B+,A
B,C,D,B+,C,C,B
B-,B-,D,B,B-,B-,B
B,C,D,B+,B-,B,B+
B+,B+,D,B+,B+,B+,B+
A,C,C,B,B,B,B
A,C,C,C,A,A,C
B+,C,C,B,C,B+,B
A,C,C,C,A,A,C
