Original No.,Admission_Channel,Secondary_School,Exam,Math_Background,MATH1510,Level
17,1,2,4,5.11,8,B+
20,1,2,4,5.83,9,B
25,1,2,4,4.61,7,A
29,1,2,4,4.61,8,B-
36,1,1,4,5.11,6,B+
37,1,3,4,5.11,1,D
50,1,10,4,5.11,6,C
55,1,2,4,5.11,7,B
62,1,3,4,4.61,7,B+
82,1,3,4,5.11,7,F
88,1,3,4,4.61,4,C
92,1,8,4,4.61,7,C
94,1,7,4,6.5,8,A
98,1,7,4,6.5,8,B+
101,1,5,4,5.11,6,B-
109,1,3,4,6.5,9,A
119,1,6,4,5.11,6,A
129,1,1,4,6.5,9,A
130,1,3,4,5.11,5,C
142,1,5,4,4.61,8,B-
144,1,3,4,4.61,8,B-
147,9,4,4,5.11,6,C
168,1,3,4,5.83,9,B+
172,1,1,4,4.61,7,C
177,1,4,4,5.11,9,B-
182,1,1,4,5.83,6,D
183,1,1,4,5.11,6,F
184,1,7,4,4.61,7,B-
187,1,2,4,4.61,9,B
189,1,2,4,4.61,7,A
202,1,2,4,5.83,7,C
208,1,3,4,4.61,6,F
213,1,2,4,5.11,9,A
219,1,3,4,5.83,8,B
224,1,2,4,5.83,6,F
225,1,4,4,4.61,1,C
229,1,10,4,5.83,9,A
232,1,4,4,5.11,1,D
240,1,2,4,5.83,9,A
241,1,1,4,5.83,10,A
248,1,1,4,5.11,7,B+
256,1,2,4,4.61,3,D
272,1,3,4,4.61,6,C
274,1,1,4,4.61,4,A
291,1,2,4,5.11,9,F
296,1,4,4,4.61,4,B
300,1,6,4,5.83,7,A
310,1,10,4,5.11,8,B
313,1,1,4,4.61,7,B
314,1,10,4,5.11,6,B-
317,1,3,4,5.11,4,C
322,1,1,4,4.61,7,C
328,1,2,4,6.5,8,B+
335,1,3,4,5.11,5,C
340,1,10,4,5.11,7,A
361,1,10,4,5.11,5,F
374,1,5,4,5.11,7,B
375,1,2,4,5.11,6,B+
380,1,8,4,4.61,9,A
382,1,7,4,5.11,3,C
383,1,5,4,4.61,3,B
385,1,10,4,5.83,9,A
386,1,1,4,5.11,7,B
387,1,2,4,5.83,5,B+
388,1,2,4,5.83,7,B+
391,1,3,4,5.11,6,A
392,1,1,4,5.11,7,B+
394,1,1,4,6.5,8,A
396,1,1,4,5.83,6,B+
397,1,3,4,5.83,7,B-
399,1,3,4,4.61,6,C
403,1,5,4,5.11,5,A
405,1,1,4,4.61,6,C
406,1,2,4,5.11,7,B+
407,1,10,4,5.11,5,B
408,1,10,4,5.11,2,C
411,1,10,4,4.61,6,A
413,1,10,4,5.11,1,A
415,1,1,4,5.83,8,A
416,1,1,4,4.61,6,B-
418,1,4,4,5.11,8,A
420,1,2,4,4.61,7,B+
422,1,4,4,5.11,2,C
423,1,2,4,6.5,8,B+
425,1,2,4,4.61,4,B+
426,1,5,4,4.61,7,B
428,1,10,4,5.11,9,A
429,9,4,4,4.61,3,B+
434,1,3,4,4.61,6,F
437,1,6,4,5.11,7,A
438,1,6,4,5.11,8,B+
440,1,2,4,5.11,6,B-
443,1,2,4,5.11,8,A
445,1,2,4,4.61,3,C
446,1,10,4,5.83,8,A
447,1,9,4,5.11,3,B-
450,1,1,4,5.83,9,A
452,1,1,4,5.11,4,A
455,1,5,4,6.5,9,B+
457,1,1,4,5.83,10,B+
458,1,5,4,5.11,8,B+
466,1,6,4,5.11,6,C
470,1,5,4,4.61,6,B-
471,1,1,4,5.83,6,B
474,1,2,4,4.61,7,A
478,1,4,4,5.11,2,B+
479,1,1,4,5.11,7,C
483,1,5,4,5.11,7,B
491,1,1,4,5.11,5,B+
492,1,10,4,5.11,6,A
494,1,5,4,4.61,5,C
499,1,6,4,4.61,6,B+
502,1,5,4,5.11,7,B+
505,1,5,4,5.83,9,A
506,1,2,4,5.83,7,B+
507,1,2,4,5.83,6,B-
508,1,2,4,5.83,10,A
509,1,2,4,5.11,6,B+
510,1,10,4,5.11,7,B+
511,1,10,4,4.61,8,A
515,1,2,4,5.83,9,B+
516,1,1,4,5.11,7,A
518,1,2,4,5.83,10,A
520,1,6,4,4.61,6,B+
521,1,2,4,5.83,6,B
524,1,1,4,5.11,9,A
525,1,2,4,5.11,4,B+
526,1,5,4,4.61,9,A
528,1,4,4,5.11,8,A
529,1,5,4,5.11,7,B
531,1,6,4,5.83,9,A
534,1,4,4,5.11,4,B+
535,1,1,4,5.11,8,A
537,1,2,4,5.11,7,B+
540,1,3,4,4.61,6,B
541,1,1,4,5.11,1,F
542,1,4,4,5.11,8,B
543,1,3,4,5.11,9,B
545,1,2,4,5.83,9,A
546,1,2,4,5.83,10,A
547,1,2,4,5.11,5,B
548,1,2,4,5.83,5,B
549,1,5,4,4.61,5,B
550,1,6,4,5.83,10,A
552,1,1,4,5.83,7,C
554,1,2,4,5.11,8,B+
555,1,2,4,5.11,8,B+
559,1,1,4,5.83,9,A
560,1,5,4,5.11,8,A
564,1,10,4,5.11,6,B
569,1,2,4,4.61,6,B
571,1,1,4,5.11,8,B+
573,1,1,4,5.11,7,C
574,1,2,4,5.11,5,B+
576,1,3,4,4.61,9,B+
577,1,10,4,5.11,9,B+
583,1,10,4,5.11,6,C
589,1,1,4,5.11,5,B
590,1,2,4,5.11,6,B
593,1,2,4,4.61,1,B
599,1,6,4,5.11,7,A
600,9,3,4,4.61,7,B+
601,1,2,4,5.11,9,A
602,1,2,4,5.83,9,A
605,1,1,4,4.61,9,A
606,1,6,4,4.61,6,B-
607,1,1,4,5.83,6,A
608,1,3,4,4.61,8,B+
609,1,4,4,5.83,8,B
611,1,1,4,4.61,4,A
613,1,4,4,5.83,6,D
614,1,1,4,4.61,7,B+
627,1,4,4,5.83,9,A
628,1,2,4,5.11,8,B+
629,1,1,4,4.61,9,B
633,1,2,4,5.83,6,A
635,1,2,4,5.11,7,A
642,1,1,4,5.11,9,B+
643,1,2,4,5.11,8,A
645,1,2,4,5.11,4,B-
647,1,5,4,5.11,6,B+
649,1,2,4,5.11,4,B+
653,1,2,4,4.61,6,C
654,1,2,4,5.83,6,A
656,1,1,4,5.11,9,A
657,1,2,4,5.11,8,B-
661,1,6,4,4.61,6,B
662,1,10,4,4.61,7,B
665,1,10,4,5.11,8,B+
670,1,1,4,5.83,10,A
671,1,3,4,4.61,4,C
677,1,1,4,5.83,9,B
679,1,3,4,4.61,4,C
680,1,7,4,4.61,7,B
681,1,3,4,5.11,6,B
682,1,6,4,5.11,6,B+
684,1,2,4,4.61,7,A
685,1,2,4,5.11,7,B-
692,1,3,4,5.83,8,B+
696,1,1,4,5.83,9,A
697,1,10,4,5.83,4,B-
698,1,10,4,4.61,1,C
702,1,2,4,5.11,10,A
706,1,5,4,5.11,6,B+
707,1,2,4,4.61,6,B+
708,1,1,4,4.61,1,B-
710,1,6,4,5.11,7,A
711,1,1,4,5.83,8,A
712,1,7,4,4.61,4,B
713,1,1,4,5.11,4,B
716,1,3,4,4.61,6,B
717,1,6,4,5.11,6,B+
718,1,10,4,5.11,7,B+
724,1,2,4,4.61,7,B
727,1,4,4,5.11,7,B-
728,1,3,4,5.83,8,A
730,1,2,4,5.11,9,A
731,1,5,4,4.61,8,A
732,1,3,4,4.61,4,B
734,1,2,4,5.11,9,A
735,1,3,4,4.61,8,B
736,1,6,4,5.11,9,A
737,1,1,4,5.83,10,A
738,1,2,4,4.61,5,C
739,1,10,4,4.61,3,C
751,1,10,4,5.83,6,A
753,1,10,4,4.61,6,C
754,1,1,4,4.61,5,B-
755,1,2,4,5.11,3,F
758,1,1,4,5.83,8,B
761,1,2,4,4.61,1,C
762,1,1,4,4.61,6,B
764,1,1,4,4.61,4,B-
765,1,1,4,4.61,2,B-
766,1,10,4,4.61,6,C
767,1,2,4,5.11,7,B
768,1,10,4,5.11,2,B
769,1,10,4,5.11,6,B
770,1,1,4,4.61,1,C
774,1,1,4,5.83,9,B+
776,1,1,4,5.83,10,A
777,1,1,4,4.61,1,B
778,1,2,4,5.11,8,B
779,1,4,4,4.61,6,B
781,1,2,4,5.83,9,A
783,1,2,4,4.61,1,F
786,1,3,4,4.61,9,A
789,1,5,4,5.11,6,C
790,1,2,4,5.11,3,B+
791,1,4,4,4.61,8,B-
792,1,2,4,4.61,6,C
795,1,10,4,4.61,5,C
796,1,3,4,4.61,6,B
799,1,1,4,5.11,7,A
800,1,2,4,5.11,8,A
801,1,4,4,5.83,6,B
802,1,3,4,4.61,3,B+
803,1,10,4,4.61,6,B+
804,1,2,4,4.61,6,A
805,1,1,4,5.11,5,B
806,1,2,4,4.61,7,B+
807,1,2,4,4.61,4,B
808,1,2,4,5.11,9,A
809,1,1,4,5.11,6,A
810,1,2,4,4.61,7,A
811,1,2,4,5.11,4,B
812,1,10,4,4.61,5,B
813,1,2,4,5.11,7,B+
814,1,6,4,4.61,7,B
815,1,10,4,5.11,3,B
816,1,1,4,5.11,3,C
817,1,4,4,4.61,6,B+
821,1,4,4,5.11,7,B
824,1,2,4,5.11,6,B+
825,1,4,4,5.11,7,A
826,1,1,4,5.11,6,B+
832,1,2,4,5.83,8,B+
838,1,2,4,4.61,4,B-
839,1,10,4,4.61,1,A
845,1,7,4,5.11,4,C
847,1,4,4,5.11,1,C
848,1,1,4,5.11,7,B+
849,1,1,4,5.11,3,B-
852,1,2,4,4.61,1,B+
853,1,1,4,5.83,7,B
856,1,5,4,4.61,2,B-
859,1,2,4,5.11,4,C
861,1,4,4,4.61,2,C
864,1,3,4,5.11,10,B
865,1,2,4,5.11,1,D
875,1,2,4,5.83,6,B
876,1,4,4,4.61,3,C
878,1,3,4,4.61,6,C
879,1,5,4,5.83,9,A
880,1,10,4,5.11,4,B-
881,1,2,4,4.61,6,C
882,1,3,4,4.61,1,F
883,1,1,4,5.11,5,B-
884,1,2,4,5.11,4,F
886,1,2,4,4.61,5,C
887,1,2,4,4.61,7,B+
889,1,1,4,5.83,5,B-
892,1,6,4,5.11,1,C
893,1,1,4,4.61,1,D
895,1,1,4,4.61,4,C
896,1,1,4,4.61,2,C
897,1,1,4,5.11,9,B-
898,1,1,4,4.61,5,B-
899,1,1,4,5.11,7,B+
900,1,3,4,5.83,7,B+
901,1,1,4,4.61,7,B-
902,1,1,4,5.11,6,A
903,1,3,4,5.11,6,B-
905,1,1,4,4.61,4,B
906,1,2,4,5.11,5,A
909,1,3,4,4.61,6,B
911,1,10,4,6.5,10,A
912,1,6,4,4.61,4,B
913,1,1,4,4.61,2,B-
914,1,2,4,5.11,6,B
915,1,1,4,4.61,2,B-
916,1,10,4,5.11,4,B
917,1,2,4,4.61,1,B-
918,1,3,4,4.61,4,C
920,1,2,4,4.61,7,A
921,1,5,4,4.61,7,C
922,1,2,4,5.11,2,B+
924,1,2,4,5.11,8,A
925,1,5,4,4.61,1,B
928,1,1,4,4.61,6,B+
930,1,10,4,5.11,9,A
932,1,3,4,4.61,7,B+
934,1,3,4,4.61,1,B-
935,1,10,4,5.83,10,A
938,1,10,4,4.61,5,A
943,1,10,4,5.83,9,A
944,1,10,4,5.83,6,B-
945,1,1,4,4.61,5,B-
947,1,10,4,4.61,7,A
948,1,10,4,4.61,6,B+
949,1,3,4,5.11,10,B-
951,1,2,4,5.11,6,B
952,1,2,4,4.61,7,B
957,1,4,4,5.11,8,A
964,1,10,4,5.83,8,A
965,1,6,4,5.11,2,B-
967,1,3,4,5.11,6,B
968,1,1,4,5.11,7,B+
969,1,2,4,5.83,8,B+
970,1,2,4,5.83,8,A
971,1,2,4,5.11,6,A
972,1,2,4,5.11,1,D
977,1,2,4,4.61,6,B+
981,1,10,4,5.11,6,B
986,1,10,4,4.61,5,B+
987,1,3,4,4.61,3,B
988,1,6,4,5.11,7,B+
990,1,4,4,4.61,7,B
991,1,3,4,4.61,6,C
994,1,7,4,4.61,6,B+
996,1,5,4,5.11,3,B
998,1,4,4,5.11,7,B-
999,1,2,4,5.83,3,B+
1001,1,2,4,4.61,6,B
1005,1,1,4,6.5,9,B+
1007,1,2,4,5.83,6,B+
1008,1,4,4,4.61,9,B
1010,1,2,4,5.11,6,B+
1013,1,3,4,4.61,7,B+
1014,1,4,4,4.61,1,C
1015,1,10,4,4.61,4,C
1016,1,4,4,5.11,1,C
1017,1,3,4,5.11,7,B
1018,1,3,4,5.11,5,B-
1020,1,1,4,4.61,2,C
1021,1,1,4,6,7,B+
1022,1,3,4,5.11,5,C
1023,1,10,4,4.61,7,C
1025,1,10,4,5.83,5,B-
1030,1,2,4,5.11,5,B
1033,1,2,4,4.61,5,B-
1036,1,10,4,4.61,4,B
