calibrated_prediction,origin_prediction,actual
3.442857142857143,3.442857142857143,3.5
3.4928571428571438,3.4928571428571438,3.15
3.757908163265306,3.2928571428571423,3.85
2.757908163265306,3.207142857142857,2.85
3.407908163265306,3.192857142857143,3.5
1.4,1.4,1.35
2.1079081632653063,3.014285714285714,2.2
3.192857142857143,3.192857142857143,3.15
3.407908163265306,3.142857142857143,3.5
-0.0920918367346939,3.3428571428571425,0.0
2.0785714285714287,2.0785714285714287,2.2
2.1079081632653063,2.585714285714286,2.2
3.757908163265306,3.3428571428571425,3.85
3.3428571428571425,3.3428571428571425,3.5
2.757908163265306,3.142857142857143,2.85
3.757908163265306,3.3428571428571425,3.85
3.757908163265306,2.957142857142857,3.85
3.757908163265306,3.442857142857143,3.85
2.1079081632653063,2.45,2.2
2.757908163265306,3.3500000000000005,2.85
2.757908163265306,3.142857142857143,2.85
3.6,3.6,2.2
3.392857142857143,3.392857142857143,3.5
2.1079081632653063,2.6357142857142857,2.2
2.757908163265306,3.207142857142857,2.85
1.2579081632653062,3.3428571428571425,1.35
-0.0920918367346939,3.192857142857143,0.0
2.992857142857143,2.992857142857143,2.85
3.192857142857143,3.192857142857143,3.15
3.757908163265306,3.2928571428571423,3.85
2.1079081632653063,3.2428571428571438,2.2
-0.0920918367346939,2.5357142857142856,0.0
3.4928571428571438,3.4928571428571438,3.85
3.057908163265306,3.3428571428571425,3.15
-0.0920918367346939,3.3428571428571425,0.0
2.0785714285714287,2.0785714285714287,2.2
3.85,3.85,3.85
1.2579081632653062,2.0785714285714287,1.35
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,3.057142857142857,3.5
1.2579081632653062,2.3285714285714287,1.35
2.1079081632653063,2.5357142857142856,2.2
3.757908163265306,2.785714285714286,3.85
3.4928571428571438,3.4928571428571438,0.0
3.057908163265306,2.0785714285714287,3.15
3.757908163265306,3.242857142857143,3.85
3.5500000000000003,3.5500000000000003,3.15
3.057908163265306,2.6357142857142857,3.15
3.014285714285714,3.014285714285714,2.85
2.2642857142857142,2.2642857142857142,2.2
2.1079081632653063,2.6357142857142857,2.2
3.3428571428571425,3.3428571428571425,3.5
2.1079081632653063,2.45,2.2
3.7,3.7,3.85
-0.0920918367346939,2.9785714285714286,0.0
3.142857142857143,3.142857142857143,3.15
3.407908163265306,3.142857142857143,3.5
3.75,3.75,3.85
2.0785714285714287,2.0785714285714287,2.2
3.057908163265306,2.6214285714285714,3.15
3.85,3.85,3.85
3.057142857142857,3.057142857142857,3.15
3.407908163265306,3.0500000000000003,3.5
3.407908163265306,3.2428571428571438,3.5
3.757908163265306,3.057142857142857,3.85
3.407908163265306,3.057142857142857,3.5
3.757908163265306,3.442857142857143,3.85
3.3428571428571425,3.3428571428571425,3.5
2.757908163265306,3.3428571428571425,2.85
2.1079081632653063,2.5357142857142856,2.2
3.757908163265306,2.7214285714285715,3.85
2.1079081632653063,2.8142857142857145,2.2
3.407908163265306,3.192857142857143,3.5
2.9785714285714286,2.9785714285714286,3.15
2.1079081632653063,2.907142857142857,2.2
3.757908163265306,2.842857142857143,3.85
3.757908163265306,2.907142857142857,3.85
3.4928571428571438,3.4928571428571438,3.85
2.8142857142857145,2.8142857142857145,2.85
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,3.2928571428571423,3.5
2.2642857142857142,2.2642857142857142,2.2
3.3428571428571425,3.3428571428571425,3.5
3.407908163265306,2.442857142857143,3.5
2.992857142857143,2.992857142857143,3.15
3.85,3.85,3.85
3.5,3.5,3.5
-0.0920918367346939,2.5357142857142856,0.0
3.757908163265306,3.3428571428571425,3.85
3.392857142857143,3.392857142857143,3.5
2.757908163265306,3.142857142857143,2.85
3.757908163265306,3.442857142857143,3.85
2.3285714285714287,2.3285714285714287,2.2
3.85,3.85,3.85
2.7142857142857144,2.7142857142857144,2.85
3.4928571428571438,3.4928571428571438,3.85
3.757908163265306,3.0500000000000003,3.85
3.3428571428571425,3.3428571428571425,3.5
3.4928571428571438,3.4928571428571438,3.5
3.4928571428571438,3.4928571428571438,3.5
2.1079081632653063,2.957142857142857,2.2
2.992857142857143,2.992857142857143,2.85
3.057908163265306,3.3428571428571425,3.15
3.757908163265306,3.2928571428571423,3.85
3.407908163265306,2.2642857142857142,3.5
2.1079081632653063,3.057142857142857,2.2
3.142857142857143,3.142857142857143,3.15
3.407908163265306,2.8642857142857143,3.5
3.757908163265306,3.014285714285714,3.85
2.1079081632653063,2.4,2.2
3.407908163265306,3.0428571428571423,3.5
3.407908163265306,3.142857142857143,3.5
3.757908163265306,3.392857142857143,3.85
3.407908163265306,3.2428571428571438,3.5
2.757908163265306,3.3428571428571425,2.85
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,3.142857142857143,3.5
3.7,3.7,3.5
3.65,3.65,3.85
3.4928571428571438,3.4928571428571438,3.5
3.757908163265306,3.057142857142857,3.85
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,3.0428571428571423,3.5
3.057908163265306,3.3428571428571425,3.15
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,3.192857142857143,3.5
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
3.142857142857143,3.142857142857143,3.15
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,2.45,3.5
3.757908163265306,3.3428571428571425,3.85
3.407908163265306,3.192857142857143,3.5
3.057908163265306,2.5357142857142856,3.15
-0.0920918367346939,1.2714285714285716,0.0
3.4928571428571438,3.4928571428571438,3.15
3.242857142857143,3.242857142857143,3.15
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
3.107142857142857,3.107142857142857,3.15
3.0500000000000003,3.0500000000000003,3.15
3.057908163265306,2.4,3.15
3.4928571428571438,3.4928571428571438,3.85
2.1079081632653063,2.921428571428572,2.2
3.442857142857143,3.442857142857143,3.5
3.442857142857143,3.442857142857143,3.5
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
3.014285714285714,3.014285714285714,3.15
3.057908163265306,2.5857142857142854,3.15
3.3428571428571425,3.3428571428571425,3.5
2.1079081632653063,3.057142857142857,2.2
3.407908163265306,3.107142857142857,3.5
3.3428571428571425,3.3428571428571425,3.5
3.85,3.85,3.5
2.1079081632653063,3.014285714285714,2.2
3.057908163265306,2.8642857142857143,3.15
3.142857142857143,3.142857142857143,3.15
3.057908163265306,2.2642857142857142,3.15
3.757908163265306,3.3428571428571425,3.85
3.5500000000000003,3.5500000000000003,3.5
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
2.757908163265306,3.0428571428571423,2.85
3.757908163265306,3.3428571428571425,3.85
3.407908163265306,3.142857142857143,3.5
3.292857142857143,3.292857142857143,3.15
3.757908163265306,2.785714285714286,3.85
1.2579081632653062,3.0428571428571423,1.35
3.407908163265306,2.6357142857142857,3.5
3.757908163265306,3.2928571428571423,3.85
3.442857142857143,3.442857142857143,3.5
3.4928571428571438,3.4928571428571438,3.15
3.757908163265306,3.3428571428571425,3.85
3.757908163265306,3.192857142857143,3.85
3.4928571428571438,3.4928571428571438,3.5
3.757908163265306,3.442857142857143,3.85
2.757908163265306,3.192857142857143,2.85
3.407908163265306,3.142857142857143,3.5
3.407908163265306,3.192857142857143,3.5
2.1079081632653063,2.5857142857142854,2.2
3.757908163265306,3.3428571428571425,3.85
3.4928571428571438,3.4928571428571438,3.85
2.757908163265306,3.442857142857143,2.85
3.0428571428571423,3.0428571428571423,3.15
3.1785714285714284,3.1785714285714284,3.15
3.5500000000000003,3.5500000000000003,3.5
3.4928571428571438,3.4928571428571438,3.85
2.0785714285714287,2.0785714285714287,2.2
3.4928571428571438,3.4928571428571438,3.15
2.0785714285714287,2.0785714285714287,2.2
2.992857142857143,2.992857142857143,3.15
3.057142857142857,3.057142857142857,3.15
3.407908163265306,2.957142857142857,3.5
3.757908163265306,3.2928571428571423,3.85
2.757908163265306,3.192857142857143,2.85
3.3428571428571425,3.3428571428571425,3.5
3.4928571428571438,3.4928571428571438,3.85
2.757908163265306,3.1214285714285714,2.85
2.1079081632653063,2.671428571428572,2.2
3.4928571428571438,3.4928571428571438,3.85
3.407908163265306,3.142857142857143,3.5
3.407908163265306,2.5857142857142854,3.5
2.757908163265306,2.4857142857142853,2.85
3.757908163265306,3.3428571428571425,3.85
3.4928571428571438,3.4928571428571438,3.85
3.057908163265306,2.4857142857142853,3.15
3.0500000000000003,3.0500000000000003,3.15
3.057908163265306,2.5357142857142856,3.15
3.407908163265306,2.957142857142857,3.5
3.7,3.7,3.5
3.2928571428571423,3.2928571428571423,3.15
2.757908163265306,3.3428571428571425,2.85
3.757908163265306,3.3428571428571425,3.85
3.4928571428571438,3.4928571428571438,3.85
3.757908163265306,3.3500000000000005,3.85
3.057908163265306,2.0785714285714287,3.15
3.4928571428571438,3.4928571428571438,3.85
3.142857142857143,3.142857142857143,3.15
3.4928571428571438,3.4928571428571438,3.85
3.4928571428571438,3.4928571428571438,3.85
2.0785714285714287,2.0785714285714287,2.2
2.2,2.2,2.2
3.757908163265306,3.321428571428572,3.85
2.1079081632653063,2.842857142857143,2.2
2.757908163265306,2.542857142857143,2.85
-0.0920918367346939,2.821428571428572,0.0
3.4928571428571438,3.4928571428571438,3.15
2.2642857142857142,2.2642857142857142,2.2
3.057908163265306,2.8142857142857145,3.15
2.785714285714286,2.785714285714286,2.85
2.757908163265306,2.357142857142857,2.85
2.1079081632653063,2.842857142857143,2.2
3.192857142857143,3.192857142857143,3.15
3.057908163265306,2.907142857142857,3.15
3.014285714285714,3.014285714285714,3.15
2.1079081632653063,2.4857142857142853,2.2
3.4928571428571438,3.4928571428571438,3.5
3.4928571428571438,3.4928571428571438,3.85
3.057908163265306,2.4857142857142853,3.15
3.057908163265306,3.442857142857143,3.15
3.057908163265306,2.807142857142857,3.15
3.4928571428571438,3.4928571428571438,3.85
-0.0920918367346939,2.2642857142857142,0.0
3.757908163265306,3.3428571428571425,3.85
2.1079081632653063,3.142857142857143,2.2
3.407908163265306,2.821428571428572,3.5
2.757908163265306,3.107142857142857,2.85
2.1079081632653063,2.5857142857142854,2.2
2.1079081632653063,2.8428571428571425,2.2
3.057908163265306,2.5357142857142856,3.15
3.757908163265306,3.057142857142857,3.85
3.757908163265306,3.442857142857143,3.85
3.0428571428571423,3.0428571428571423,3.15
3.407908163265306,2.35,3.5
3.407908163265306,2.842857142857143,3.5
3.757908163265306,2.5857142857142854,3.85
3.057908163265306,2.8642857142857143,3.15
3.407908163265306,3.2928571428571423,3.5
3.057908163265306,2.442857142857143,3.15
3.4928571428571438,3.4928571428571438,3.85
3.757908163265306,3.192857142857143,3.85
3.757908163265306,3.2928571428571423,3.85
3.192857142857143,3.192857142857143,3.15
3.057908163265306,2.8428571428571425,3.15
3.407908163265306,3.192857142857143,3.5
3.142857142857143,3.142857142857143,3.15
3.057908163265306,2.707142857142857,3.15
2.142857142857143,2.142857142857143,2.2
3.407908163265306,2.807142857142857,3.5
3.057908163265306,3.3428571428571425,3.15
3.407908163265306,3.142857142857143,3.5
3.757908163265306,3.3428571428571425,3.85
3.407908163265306,3.192857142857143,3.5
3.4928571428571438,3.4928571428571438,3.5
2.757908163265306,2.442857142857143,2.85
3.757908163265306,2.671428571428572,3.85
2.1079081632653063,2.4857142857142853,2.2
2.0785714285714287,2.0785714285714287,2.2
3.407908163265306,3.057142857142857,3.5
2.757908163265306,2.142857142857143,2.85
3.407908163265306,2.2642857142857142,3.5
3.057908163265306,2.921428571428572,3.15
2.757908163265306,2.4928571428571438,2.85
2.1079081632653063,3.192857142857143,2.2
2.0785714285714287,2.0785714285714287,2.2
3.25,3.25,3.15
1.2579081632653062,1.6142857142857143,1.35
